字段名,类型,单位中文,单位英文,数据表行前缀,项目中文,每点效果,数值表列,数据来源,备注
QueenHealthImprovment,IP微调,蚁后,Queen,Queen,生命,每点 +10,Health,wiki Formicarium Adaptation（每点效果）,
QueenCDImprovment,IP微调,蚁后,Queen,Queen,技能冷却,每点 -0.5 秒,,wiki Formicarium Adaptation（每点效果）,技能冷却在 Abilities 技能表，不在 CreatureStats 里
WorkerSpeedImprovment,IP微调,工蚁,Worker,WorkerAnt,移动速度,每点 +2,Speed,wiki Formicarium Adaptation（每点效果）,
WorkerHarvestImprovment,IP微调,工蚁,Worker,WorkerAnt,搬运量,每点 +0.4,FoodCarryMax,wiki Formicarium Adaptation（每点效果）,
BlackAntHealthImprovment,IP微调,黑蚁兵,Black ant soldier,BlackAnt,生命,每点 +0.7,Health,wiki Formicarium Adaptation（每点效果）,
BlackAntArmourImprovment,IP微调,黑蚁兵,Black ant soldier,BlackAnt,护甲,每点 +0.1,Armour,wiki Formicarium Adaptation（每点效果）,
BlackAntPiercingImprovment,IP微调,黑蚁兵,Black ant soldier,BlackAnt,穿刺,每点 +0.5%,Piercing,wiki Formicarium Adaptation（每点效果）,
BlackAntAttackImprovment,IP微调,黑蚁兵,Black ant soldier,BlackAnt,普攻伤害,每点 +0.05,AttackDamage,wiki Formicarium Adaptation（每点效果）,
WoodAntHealthImprovment,IP微调,木蚁射手,Wood ant shooter,WoodAntA,生命,每点 +0.5,Health,wiki Formicarium Adaptation（每点效果）,
WoodAntRangeImprovment,IP微调,木蚁射手,Wood ant shooter,WoodAntA,射程,每点 +2,,wiki Formicarium Adaptation（每点效果）,射程不体现在 CreatureStats 表的展示列里
WoodAntAttackDamageImprovment,IP微调,木蚁射手,Wood ant shooter,WoodAntA,酸液伤害,每点 +0.08（迫击）/ +0.02（速射）,,wiki Formicarium Adaptation（每点效果）,酸液伤害属技能（Abilities 表）
WoodAntAttackSpeedImprovment,IP微调,木蚁射手,Wood ant shooter,WoodAntA,酸液攻速,每点 +0.4%,,wiki Formicarium Adaptation（每点效果）,酸液攻速属技能（Abilities 表）
LeafcutterHealthImprovment,IP微调,切叶蚁大工,Leafcutter ant major,LeafcutterMajorTaunt,生命,每点 +1,Health,wiki Formicarium Adaptation（每点效果）,与震晕型（Stun）数值完全相同
LeafcutterPhysicalResImprovment,IP微调,切叶蚁大工,Leafcutter ant major,LeafcutterMajorTaunt,物理抗性,每点 +0.5%,PhysicalResist,wiki Formicarium Adaptation（每点效果）,
LeafcutterVenomResImprovment,IP微调,切叶蚁大工,Leafcutter ant major,LeafcutterMajorTaunt,毒抗,每点 +0.5%,VenomResist,wiki Formicarium Adaptation（每点效果）,
