分组,单位(中),单位(英),数据表行名,等级,生命,普攻伤害,攻速系数,移速,护甲,物抗,毒抗,AOE抗,闪避,穿刺,单次最大受伤,回血/秒,挖掘量,搬运上限,视野半径,点数,战役/自定义差异,备注
蚁皇浆单位,蚁后,Queen,Queen1,唯一档,600,1,1,0,0,50%,50%,0%,0%,0%,25,1,0,15,150,700,,蚁后在数据表里只有一行（没有 Lv2/Lv3）
蚁皇浆单位,工蚁,Worker,WorkerAnt1,Lv1,25,0.6,1,300,0,0%,0%,0%,0%,0%,不限,0.1,2,15,400,2,,
蚁皇浆单位,工蚁,Worker,WorkerAnt2,Lv2,35,0.8,1,340,0,0%,0%,0%,0%,0%,不限,0.1,4,15,400,4,,
蚁皇浆单位,工蚁,Worker,WorkerAnt3,Lv3,45,1,1,380,0,0%,0%,0%,0%,0%,不限,0.1,6,15,400,5,,
蚁皇浆单位,黑蚁兵,Black ant soldier,BlackAnt1,Lv1,50,3.6,1,300,0,0%,0%,20%,0%,0%,不限,0.1,2,15,400,10,单次最大受伤：战役 不限 → 自定义 40,
蚁皇浆单位,黑蚁兵,Black ant soldier,BlackAnt2,Lv2,60,4.4,1,300,0,0%,0%,20%,0%,0%,不限,0.2,2,15,400,14,护甲：战役 0 → 自定义 1；单次最大受伤：战役 不限 → 自定义 40,
蚁皇浆单位,黑蚁兵,Black ant soldier,BlackAnt3,Lv3,70,4.4,1.6,300,0,0%,0%,20%,0%,0%,不限,0.3,2,15,400,20,护甲：战役 0 → 自定义 2；单次最大受伤：战役 不限 → 自定义 40,
蚁皇浆单位,木蚁射手,Wood ant shooter,WoodAntA1,Lv1,20,2,1,280,0,0%,0%,0%,0%,0%,不限,0.1,2,15,500,10,,远程酸液伤害不在本表（存在 Abilities 技能表里），这里显示的是普攻。迫击型；速射型（WoodAntB）数值完全相同
蚁皇浆单位,木蚁射手,Wood ant shooter,WoodAntA2,Lv2,25,2,1,280,0,0%,0%,0%,0%,0%,不限,0.1,2,15,500,14,,远程酸液伤害不在本表（存在 Abilities 技能表里），这里显示的是普攻。迫击型；速射型（WoodAntB）数值完全相同
蚁皇浆单位,木蚁射手,Wood ant shooter,WoodAntA3,Lv3,30,2,1,280,0,0%,0%,0%,0%,0%,不限,0.1,2,15,500,19,,远程酸液伤害不在本表（存在 Abilities 技能表里），这里显示的是普攻。迫击型；速射型（WoodAntB）数值完全相同
