数据表行名,CSV列名,等级,官方值,出处
# TrapjawAnt（陷阱颚蚁兵）：官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier；成本 90 [6],,,,wiki 原话：Damage modifications None、Immunities None；Attack speed 1.5/1.5/1.5（显示值）
# SlaveMakerAnt（奴役蚁兵）：官方 wiki「Slave-maker Ant」→ Notable stats → Slave-maker ant soldier；成本 65 [5],,,,wiki 原话：Damage modifications None、Immunities None；Attack speed 1.5/1.8/2.2（显示值）。同页奴役蚁-偷卵者 SlaverAnt1 未被 mod 改动
# LittleBlackAnt（小黑蚁兵）：官方 wiki「Little Black Ant」→ Notable stats → Little black ant soldier；成本 24 [2],,,,wiki 原话：Damage modifications 只有 Area resistance 20%/20%/20%、Immunities None；Attack speed 1.5/1.5/2.5（显示值）。⚠️ 同页「Little black ant worker（工蚁）」是另一档：生命 25/35/45、伤害 0.6/0.8/1、移速 300/340/380、点数 5/8/12 —— 数据表里只有一组 LittleBlackAnt1/2/3，按兵蚁口径收录（与 mod 拿它改造成兵蚁一致）
TrapjawAnt1,Health,Lv1,65,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,Health,Lv2,75,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,Health,Lv3,90,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,AttackDamage,Lv1,6,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,AttackDamage,Lv2,8,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,AttackDamage,Lv3,11,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,AttackSpeed,Lv1,1,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,AttackSpeed,Lv2,1,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,AttackSpeed,Lv3,1,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,Speed,Lv1,320,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,Speed,Lv2,320,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,Speed,Lv3,320,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,FoodCarryMax,Lv1,15,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,FoodCarryMax,Lv2,15,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,FoodCarryMax,Lv3,15,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,HealthPerSecond,Lv1,0.1,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,HealthPerSecond,Lv2,0.1,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,HealthPerSecond,Lv3,0.1,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,TargetRadius,Lv1,400,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt2,TargetRadius,Lv2,400,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt3,TargetRadius,Lv3,400,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
TrapjawAnt1,PointValue,Lv1,14,官方 wiki「Trap-jaw Ant」→ Notable stats → Trap-jaw ant soldier
