前缀/ID,草稿中文名,把握度
Queen,蚁后,高
WorkerAnt,窃贼林蚁工蚁（主线种）,"中——游戏里可能只显示""工蚁"""
BlackAnt,黑蚁,中
WoodAntA,木蚁,中
WoodAntB,木蚁（B 型）,低
WoodAntMelee,木蚁（近战型）,低
BulletAnt,子弹蚁,高
TrapjawAnt,大齿猛蚁,高（Steam 官方中文页）
LeafcutterMedia,切叶蚁（中型工蚁）,中
LeafcutterMinor,切叶蚁（小型工蚁）,低
LeafcutterMajorTaunt,切叶蚁（大型兵蚁·诱敌）,低
FireAntVigorous,火蚁,中
MatabeleMedicAnesthetist,马塔贝勒蚁（医蚁）,低
MatabeleSoldier,马塔贝勒蚁（兵蚁）,低
ExplodingAntSoldier,爆炸蚁（兵蚁）,"中（DLC 名""爆炸蚁""）"
ExplodingAntMajorSoldier,爆炸蚁（大型兵蚁）,中
ExplodingTermiteSoldier,爆炸白蚁（兵蚁）,低
ExplodingTermiteWorker,爆炸白蚁（工蚁）,低
