ID(游戏内部名),Health,AttackDamage,BasicAttackThreatGeneration,AttackSpeed,Speed,PointValue,DigAmmount,DigSpeed,Temperament,PhysicalResist,VenomResist,Armour,Evasion,HealthPerSecond,MaxSingleDamage,Piercing,SlowResist,AOEResist,CannotBePickedUp,CannotBeExercuted,CannotBeStunned,CannotBeConfused,CannotFlee,CannotBeStrongPickedUp,CannotBeKnockedBack,FoodHarvestTime,FoodCarryMax,FoodValue,WanderDistance,PickupTime,TargetRadius,ArrivalDistance,ReachableDistance,AttackTolDistance
Default,25.0,1.0,0.0,1.0,300.0,5.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,28.0,20.0,25.0
BlackAnt1,50.0,3.5999999046325684,0.0,1.0,300.0,10.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.20000000298023224,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,28.0,20.0,25.0
BlackAnt2,60.0,4.400000095367432,0.0,1.0,300.0,14.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,30.0,22.0,27.0
BlackAnt3,70.0,4.400000095367432,0.0,1.600000023841858,300.0,20.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,0.0,0.20000000298023224,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,32.0,24.0,29.0
WorkerAnt1,25.0,0.6000000238418579,0.0,1.0,300.0,2.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5.0,15,0,500.0,0.5,400.0,28.0,20.0,25.0
WorkerAnt2,35.0,0.800000011920929,0.0,1.0,340.0,4.0,4.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5.0,15,0,500.0,0.5,400.0,30.0,22.0,27.0
WorkerAnt3,45.0,1.0,0.0,1.0,380.0,5.0,6.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,5.0,15,0,500.0,0.5,400.0,32.0,24.0,29.0
Queen1,600.0,1.0,0.0,1.0,0.0,700.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.5,0.5,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,0.0,0.5,150.0,80.0,100.0,105.0
DCHLarvae1,70.0,5.0,0.0,1.0,200.0,26.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,6,500.0,0.5,700.0,40.0,30.0,35.0
DCHAdult1,500.0,20.0,0.0,1.0,200.0,128.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0,0,0,0,0,0,0,1.0,15,28,500.0,0.5,600.0,70.0,65.0,50.0
BeachTigerBeetle1,700.0,30.0,0.0,1.0,800.0,300.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,65,1500.0,0.5,600.0,75.0,60.0,53.0
BeachTigerBeetle_Small1,300.0,10.0,0.0,1.0,600.0,100.0,1.0,1.0,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,22,1500.0,0.5,600.0,70.0,65.0,50.0
MTWorkerAnt1,25.0,1.0,0.0,1.0,300.0,5.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,25.0,20.0,25.0
FunnelWeb1,70.0,5.0,0.0,1.0,800.0,50.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0,0,0,1.0,15,20,1.0,0.5,1.0,35.0,30.0,30.0
Woodlouse1,70.0,1.0,0.0,0.5,150.0,3.0,0.0,0.0,ECreatureTemperament::DoNotAttack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,40,500.0,0.5,100.0,50.0,45.0,35.0
Woodworm1,2.0,0.0,0.0,1.0,75.0,1.0,0.0,0.0,ECreatureTemperament::RetreatWhenAttacked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,25,100.0,0.5,200.0,28.0,20.0,25.0
WoodAntA1,20.0,2.0,0.0,1.0,280.0,10.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,500.0,28.0,20.0,25.0
WoodAntA2,25.0,2.0,0.0,1.0,280.0,14.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,500.0,30.0,22.0,27.0
WoodAntA3,30.0,2.0,0.0,1.0,280.0,19.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,500.0,32.0,24.0,29.0
WoodAntB1,20.0,2.0,0.0,1.0,280.0,10.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,28.0,20.0,25.0
WoodAntB2,25.0,2.0,0.0,1.0,280.0,14.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,30.0,22.0,27.0
WoodAntB3,30.0,2.0,0.0,1.0,280.0,19.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,32.0,24.0,29.0
WoodAntMelee1,85.0,0.6000000238418579,0.20000000298023224,1.0,320.0,8.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.0,0.0,0.20000000298023224,0.0,0.10000000149011612,0.0,0.0,0.0,0.30000001192092896,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,23.0,20.0,30.0
WoodAntMelee2,100.0,1.2000000476837158,0.25,1.0,320.0,12.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.10000000149011612,0.0,0.4000000059604645,0.0,0.20000000298023224,0.0,0.0,0.0,0.30000001192092896,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,25.0,22.0,32.0
WoodAntMelee3,120.0,1.7999999523162842,0.30000001192092896,1.0,320.0,18.0,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0.20000000298023224,0.0,0.6000000238418579,0.0,0.30000001192092896,0.0,0.0,0.0,0.30000001192092896,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400.0,37.0,24.0,34.0
BeachWolfSpider1,600.0,80.0,0.0,1.0,1200.0,400.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.4000000059604645,0.0,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,0,0,0,0,0,0,0,1.0,15,86,500.0,0.5,600.0,75.0,60.0,53.0
MediumBeachWolfSpider1,400.0,60.0,0.0,1.0,1000.0,257.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,56,500.0,0.5,600.0,50.0,45.0,35.0
SmallBeachWolfSpider1,120.0,40.0,0.0,1.0,800.0,100.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,22,500.0,0.5,600.0,35.0,30.0,28.0
BeachWolfSpiderling1,25.0,5.0,0.0,1.0,800.0,14.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,3,500.0,0.5,400.0,28.0,20.0,25.0
LargeHermitCrab1,4500.0,20.0,0.0,1.0,300.0,550.0,50.0,0.699999988079071,ECreatureTemperament::AttackOnSight,0.30000001192092896,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,120,500.0,0.5,600.0,70.0,65.0,50.0
HermitCrab1,1500.0,10.0,0.0,1.0,150.0,215.0,50.0,0.699999988079071,ECreatureTemperament::AttackOnSight,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,0.0,0,0,0,0,0,0,0,1.0,15,46,600.0,0.5,200.0,50.0,45.0,35.0
SmallHermitCrab1,750.0,5.0,0.0,1.0,120.0,100.0,50.0,0.699999988079071,ECreatureTemperament::AttackOnSight,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000298023224,0.0,0,0,0,0,0,0,0,1.0,15,22,600.0,0.5,200.0,30.0,25.0,28.0
Ladybird1,100.0,1.0,0.0,1.0,130.0,15.0,0.0,0.0,ECreatureTemperament::AttackOnSight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,15,10,600.0,0.5,200.0,60.0,55.0,42.0
SlaveMakerAnt1,50,3,0.0,1,280,15,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0,0,0,0,0.1,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400,40.0,40.0,33.0
SlaveMakerAnt2,80,4.4,0.0,1.2,300,18,2.0,0.05000000074505806,ECreatureTemperament::AttackOnSight,0,0,0,0,0.15,0.0,0,0.0,0,0,0,0,0,0,0,0,1.0,15,0,500.0,0.5,400,45.0,45.0,38.0
