单位(中),单位(英),类别,项目名,蚁皇浆花费,类型,效果,存档字段名,字段类型,值域
蚁后,Queen,适应性(4选2),Second wind 二次风,50,Ability,血量降到 75% 时触发：无敌 30 秒，5 秒内回复 300 HP。冷却 300,bGeneTheifQueenSecondWind,BoolProperty,true / false
蚁后,Queen,适应性(4选2),Fierce mother 狂暴母体,50,Ability,血量降到 75% 时触发：半径 2600 内敌人混乱 10 秒。冷却 300,bGeneTheifQueenFierceMother,BoolProperty,true / false
蚁后,Queen,适应性(4选2),（wiki 名：Royal guard 皇家卫兵）,100,Ability,血量降到 75% 时触发：每个蚁后房间立刻产出 2 只皇家卫兵、仅存活 60 秒；5 秒内产卵不需食物与工蚁。冷却 300,bGeneTheifQueenStrongCarpiece,BoolProperty,true / false
蚁后,Queen,适应性(4选2),（wiki 名：Royal decree 皇家敕令）,100,Ability,血量降到 75% 时触发：20 秒内产卵不需食物与工蚁。冷却 300,bGeneTheifQueenResistantCarpiece,BoolProperty,true / false
蚁后,Queen,属性微调(IP),生命,每次×1.15,-,每点 +10,QueenHealthImprovment,IntProperty,0 ~ 上限
蚁后,Queen,属性微调(IP),技能冷却,每次×1.15,-,每点 -0.5 秒,QueenCDImprovment,IntProperty,0 ~ 上限
工蚁,Worker,适应性(4选2),Nimble 敏捷,30,Stat,脱战闪避 +60%；被发现的距离更短；脱战时不显示在小地图与血条上,bGeneTheifWorkerStrongMandibles,BoolProperty,true / false
工蚁,Worker,适应性(4选2),Defensive 防御,30,Stat,单次最大受伤 20；物理抗性 +20%；毒抗 +20%,bGeneTheifWorkerStrongCarpiece,BoolProperty,true / false
工蚁,Worker,适应性(4选2),Aggressive brood 好斗虫群,40,Stat,普攻伤害 +200%,bGeneTheifWorkerAggressiveBrood,BoolProperty,true / false
工蚁,Worker,适应性(4选2),Efficient brood 高效虫群,40,Stat,移速 +40；搬运量 +10；工作完成速度 +2；走在非高速通道上不受减速与毒素影响,bGeneTheifWorkerEfficientBrood,BoolProperty,true / false
工蚁,Worker,属性微调(IP),移动速度,每次×1.15,-,每点 +2,WorkerSpeedImprovment,IntProperty,0 ~ 上限
工蚁,Worker,属性微调(IP),搬运量,每次×1.15,-,每点 +0.4,WorkerHarvestImprovment,IntProperty,0 ~ 上限
工蚁,Worker,等级上限,WorkerMaxUpgradeLevel,-,-,该单位可买到的最多级数,WorkerMaxUpgradeLevel,IntProperty,0 ~ 上限
黑蚁兵,Black ant soldier,适应性(4选2),Dangerous 危险,50,Stat,普攻攻速 +20%,bBlackAntDangerous,BoolProperty,true / false
黑蚁兵,Black ant soldier,适应性(4选2),Meat wall 肉盾,50,Stat,物理抗性 +50%,bBlackAntMeatWall,BoolProperty,true / false
黑蚁兵,Black ant soldier,适应性(4选2),Self preservation 自保,70,Ability,血量降到 40% 时触发：脱离战斗 0.5 秒,bBlackAntSelfPreservation,BoolProperty,true / false
黑蚁兵,Black ant soldier,适应性(4选2),Self repair 自修,70,Stat,治疗速度 +4,bBlackAntSelfRepair,BoolProperty,true / false
黑蚁兵,Black ant soldier,属性微调(IP),生命,每次×1.15,-,每点 +0.7,BlackAntHealthImprovment,IntProperty,0 ~ 上限
黑蚁兵,Black ant soldier,属性微调(IP),护甲,每次×1.15,-,每点 +0.1,BlackAntArmourImprovment,IntProperty,0 ~ 上限
黑蚁兵,Black ant soldier,属性微调(IP),穿刺,每次×1.15,-,每点 +0.5%,BlackAntPiercingImprovment,IntProperty,0 ~ 上限
黑蚁兵,Black ant soldier,属性微调(IP),普攻伤害,每次×1.15,-,每点 +0.05,BlackAntAttackImprovment,IntProperty,0 ~ 上限
黑蚁兵,Black ant soldier,等级上限,BlackAntMaxUpgradeLevel,-,-,该单位可买到的最多级数,BlackAntMaxUpgradeLevel,IntProperty,0 ~ 上限
